item_id,paper,paper_item_no,source_true,cognitive_level,topic,adjusted_correct_probability,min_standardized_probability,max_standardized_probability,n_standardization_students,n_standardization_scenarios,standardized_block_positions,model_formula,adjustment_note
M038,M,38,MAS,analysis,Trauma,0.6801099512715907,0.6101512477031712,0.7582985598006395,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M039,M,39,MAS,analysis,Trauma,0.9400681687465746,0.9208617703317146,0.9588905843480721,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M040,M,40,MAS,comprehension,Trauma,0.43996304063394204,0.36472685513997305,0.5350722062564619,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M041,M,41,MAS,comprehension,Stones,0.7601315783763326,0.7004533356485013,0.8241735142230957,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M042,M,42,MAS,comprehension,Stones,0.5400310622558275,0.4625507228263152,0.6330555615084873,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M043,M,43,MAS,analysis,Tumors,0.019973090125217034,0.014485725967171997,0.028621057026777932,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M044,M,44,MAS,analysis,Tumors,0.15987243545511548,0.12115925127453868,0.21651841005423303,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M045,M,45,MAS,analysis,Tumors,0.6200807669102801,0.5453157130682716,0.7062390693188876,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M046,M,46,MAS,analysis,Tumors,0.0399496521451256,0.02915543120048847,0.056780864970652566,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M047,M,47,MAS,analysis,Infection,0.279879015281778,0.22035388057746783,0.3616570235361891,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M048,M,48,MAS,analysis,Andrology/Pelvic floor,0.6400914767611576,0.5666590511983177,0.7238537773518471,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M049,M,49,MAS,analysis,Tumors,0.41994993965624206,0.3458827412300888,0.5145556623910259,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
M050,M,50,MAS,analysis,Stones,0.3799252906085261,0.30889193571090606,0.4725579065871663,50,100,1;2,correct ~ C(item_id) + C(block_position) + C(training_setting) + C(training_year) + C(form),"Item-level probabilities were standardized after a binomial GLM with item fixed effects, block position, training setting/campus, training year, and randomized form. The standardization averages each item over all students and both block positions."
